time,mean_mastery,mean_performance,mean_unverified_delegation,mean_trust
83,0.36742347737208186,0.9367423477372083,0.11575085915952817,0.2883995416792727
84,0.3685357074990884,0.9368535707499089,0.11399166845471877,0.28697025085190253
85,0.36982678861814056,0.9369826788618142,0.11626303575473926,0.2926615345033745
86,0.36895892409148157,0.9368958924091483,0.11647849153126608,0.29339693348381296
87,0.3668429206520928,0.9366842920652093,0.11581156803109091,0.29128830068110734
88,0.3651302530349245,0.9365130253034923,0.11585901589740737,0.2912976234474627
89,0.36385034496470203,0.9363850344964704,0.11391434782428836,0.29164669837981283
90,0.36220592014768216,0.9362205920147681,0.11389162344208018,0.290929169727466
91,0.3616438037410854,0.9361643803741087,0.11529615196949175,0.2933418744999895
92,0.36027829866395344,0.9360278298663954,0.11397432115468263,0.28903859916744634
93,0.36094269351945624,0.9360942693519456,0.11737181886022863,0.2932469951702859
94,0.3601370658097589,0.9360137065809759,0.12205542775198135,0.2996173121947344
95,0.35842288975873016,0.9358422889758731,0.12207830427358062,0.30005633912932256
96,0.3561692182545168,0.9356169218254516,0.11982437522768234,0.29745116025249246
97,0.35509775487789047,0.935509775487789,0.12033662641882657,0.29788824446953127
98,0.353934070240789,0.9353934070240789,0.12136689748871554,0.3003694223738424
99,0.3515747762862388,0.935157477628624,0.12063602240884497,0.3000313864214437
100,0.3494407214987271,0.934944072149873,0.12107467740415771,0.3017121168687924
101,0.3466515209966811,0.9346651520996682,0.12134177199812432,0.3022848876428096
102,0.3448559766592721,0.9344855976659272,0.11814254463898145,0.29773052974896674
103,0.34422665524092416,0.9344226655240925,0.11721242988020272,0.296439530997173
104,0.3440942875702985,0.9344094287570298,0.11750863842329594,0.2976180229292439
105,0.3429470517176939,0.9342947051717694,0.11769624103722637,0.2971049725381109
106,0.3431059921727112,0.9343105992172712,0.1192136417579509,0.29876042812551606
107,0.3426197853052843,0.9342619785305285,0.11801519661598443,0.2964566157929273
108,0.34422031642508444,0.9344220316425087,0.11715206524960863,0.29265195976225283
109,0.3471331000375488,0.9347133100037549,0.11634768683373962,0.2915169502573988
110,0.3500022497379907,0.9350002249737992,0.11459758054411597,0.2886279490669024
111,0.3529659353319779,0.9352965935331978,0.11526700609440946,0.2883560957463649
112,0.355743836137128,0.9355743836137128,0.11773519489690261,0.2912679749178487
113,0.35713920603327126,0.9357139206033271,0.11821687082404968,0.29232429396157794
114,0.3575177518815883,0.9357517751881589,0.11942372406071364,0.293528066021876
115,0.35768935381746914,0.935768935381747,0.11798245005459444,0.2899232971249557
116,0.3583557934450861,0.9358355793445086,0.11705742936001641,0.28995281595284156
117,0.35872894461104265,0.9358728944611042,0.11767948841183122,0.2904818205909106
118,0.359254728441517,0.9359254728441518,0.11566411175171969,0.2873158221509393
119,0.3606737318570894,0.936067373185709,0.11665404519376636,0.2880111777850122
120,0.36127762617920195,0.9361277626179202,0.11888371566903892,0.2927529622448146
121,0.3599985422160232,0.9359998542216024,0.11571438689790686,0.28983864089371103
122,0.35862853100246717,0.9358628531002466,0.1168481841712902,0.2914640556403408
123,0.3585259030862397,0.935852590308624,0.12005639390327505,0.2959944150380711
124,0.35740089023021815,0.9357400890230219,0.11988407023886813,0.2952230453771714
125,0.35689835397993924,0.935689835397994,0.12071931160207375,0.2964150075177305
126,0.3564230231770692,0.935642302317707,0.1211495539680323,0.297022360802732
127,0.3556627755718368,0.9355662775571837,0.12193589574587453,0.2981250238477805
128,0.35516422323250524,0.9355164223232506,0.12352645287947879,0.30181814388219813
129,0.35356772785912255,0.9353567727859122,0.1234698367707164,0.3019296571705658
130,0.3514777986479534,0.9351477798647955,0.12365477173800547,0.3029804161111996
131,0.34898066212441337,0.9348980662124414,0.12505431797202696,0.30622939520681974
132,0.34602804258477604,0.9346028042584775,0.12521490707333074,0.30666531805073055
133,0.34369633587854,0.934369633587854,0.12384143929616784,0.3044664792194452
134,0.3428512811165453,0.9342851281116545,0.12487593542127236,0.3049499746619703
135,0.3419794824280757,0.9341979482428076,0.12116995018770595,0.2988804195038968
136,0.3431982114933009,0.93431982114933,0.11975657997153935,0.2978580784533329
137,0.3440882590182262,0.9344088259018226,0.12082446758937064,0.297484121017427
138,0.3453389028932298,0.9345338902893231,0.12039059735921454,0.29714100874522587
139,0.34596415887255527,0.9345964158872554,0.11912300513796782,0.2958928760474279
140,0.3468213195746362,0.9346821319574636,0.11950302148582248,0.29792375215678407
141,0.34668877281554944,0.934668877281555,0.11789218077571387,0.2950292368574787
142,0.34792819823625676,0.9347928198236256,0.11818353551839204,0.2952911345042341
143,0.3487978197677977,0.9348797819767799,0.12075372247932505,0.2994906843724825
144,0.34819473929550754,0.9348194739295508,0.12035089627458774,0.2969445622651772
145,0.3485092824889492,0.9348509282488949,0.12201132025930356,0.2988285552362974
146,0.3492020718277655,0.9349202071827766,0.11908462367344605,0.2930334280168352
147,0.3522564338396709,0.9352256433839671,0.11957188718951106,0.29384630629145664
148,0.3553468512844186,0.935534685128442,0.11419258272221697,0.2861610081222689
149,0.360193385230628,0.9360193385230627,0.11556838224977904,0.290454276450529
150,0.3619511919513955,0.9361951191951395,0.11327349659797811,0.28855358657895974
151,0.3636413138192262,0.9363641313819226,0.11243421406535276,0.2878550046502692
152,0.36517666158867806,0.9365176661588678,0.11260470495787492,0.28639537510470753
153,0.3673419110741923,0.9367341911074194,0.11265777144980911,0.28581864344356905
154,0.36866234574331996,0.936866234574332,0.11420516528058755,0.2894584747779184
155,0.3685432944881844,0.9368543294488184,0.11554791291306708,0.2917340459862506
156,0.36766781537758997,0.9367667815377588,0.11732288992256741,0.2936318324719713
157,0.36644870968432597,0.9366448709684327,0.11594243934704337,0.292827778317579
158,0.3652294459832828,0.9365229445983283,0.11802837090070199,0.29476214899413394
159,0.3637373151840032,0.9363737315184003,0.11945028860337076,0.2956561199653847
160,0.36227147613981203,0.9362271476139813,0.12045394286498325,0.29690895964900366
161,0.3609995943316111,0.936099959433161,0.12136736183301565,0.29898253171400135
162,0.3588361461946246,0.9358836146194623,0.12051064656833517,0.29632185009739975
163,0.35721101600636007,0.9357211016006359,0.12216342795674433,0.2972463235178426
164,0.35680048078692456,0.9356800480786925,0.12158833987937676,0.2947984162577614
165,0.3581513156443001,0.9358151315644301,0.12006774436183323,0.2947634101318057
166,0.3581338473278665,0.9358133847327869,0.12144634928484226,0.2984590252529607
167,0.35653836630537517,0.9356538366305375,0.1243149306600138,0.3036715198122372
168,0.3530742087379623,0.9353074208737963,0.12445866375383857,0.30469423103189236
169,0.34960781657088164,0.9349607816570881,0.12065969331559528,0.2980871506755445
170,0.3494202102724603,0.934942021027246,0.11907678938376058,0.29600946760899677
171,0.34966586380847264,0.9349665863808472,0.12018609257699812,0.2971533516420524
