time,K_7.5%,Y_7.5%,K_5%,Y_5%
105,0.782354758680974,0.9782354758680974,0.8044681207666131,0.9804468120766613
106,0.7823547586809726,0.9782354758680972,0.8044681207666131,0.9804468120766613
107,0.7823547586809715,0.9782354758680971,0.8044681207666131,0.9804468120766613
108,0.7823547586809706,0.9782354758680971,0.8044681207666131,0.9804468120766613
109,0.78235475868097,0.978235475868097,0.8044681207666131,0.9804468120766613
110,0.7823547586809696,0.978235475868097,0.8044681207666131,0.9804468120766613
111,0.7823547586809692,0.9782354758680969,0.8044681207666131,0.9804468120766613
112,0.7823547586809688,0.9782354758680969,0.8044681207666131,0.9804468120766613
113,0.7823547586809686,0.9782354758680969,0.8044681207666131,0.9804468120766613
114,0.7823547586809685,0.9782354758680969,0.8044681207666131,0.9804468120766613
115,0.7823547586809684,0.9782354758680969,0.8044681207666131,0.9804468120766613
116,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
117,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
118,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
119,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
120,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
121,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
122,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
123,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
124,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
125,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
126,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
127,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
128,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
129,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
130,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
131,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
132,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
133,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
134,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
